vi,en
"Nhanh lên, máy hàn bị xì nhớt thủy lực, gọi đội bảo trì!","Hurry up, the welding machine is leaking hydraulic fluid, call the maintenance team!"
"Ê bạn ơi, máy hàn vừa bốc khói, lập biên bản!","Hey buddy, the welding machine just emitted smoke, make a report!"
"Lưu ý, máy hàn bị rò điện, chụp hình lại!","Attention, the welding machine has an electrical leakage, take a picture!"
"Nhanh lên, máy rải nhựa hư motor rồi, cúp điện khẩn cấp!","Hurry up, the asphalt paver has motor failure, cut the power urgently!"
"Báo cáo đội trưởng, máy hàn bị tuột sên.","Report to crew chief, the welding machine slipped its chain."
"Báo cáo cai thầu, máy hàn bị xì nhớt thủy lực.","Report to foreman, the welding machine is leaking hydraulic fluid."
"Khẩn cấp, xe cẩu bị kẹt cứng rồi, cúp điện khẩn cấp!","Urgent, the crane truck is jammed, cut the power urgently!"
"Ê bạn ơi, xe ủi hư motor rồi, tránh xa ra!","Hey buddy, the bulldozer has motor failure, stay away!"
"Báo cáo giám sát, máy đóng cọc bị xì nhớt thủy lực.","Report to supervisor, the pile driver is leaking hydraulic fluid."
"Báo cáo công nhân hàn, máy hàn hư motor rồi.","Report to welder, the welding machine has motor failure."
"Báo cáo đội trưởng, máy rải nhựa bị xì nhớt thủy lực.","Report to crew chief, the asphalt paver is leaking hydraulic fluid."
"Báo cáo tổ đội, máy rải nhựa vừa bốc khói.","Report to the crew, the asphalt paver just emitted smoke."
"Báo cáo kỹ sư, cẩu tháp bị xì nhớt thủy lực.","Report to engineer, the tower crane is leaking hydraulic fluid."
"Cảnh báo, bơm chìm vừa bốc khói, lập biên bản!","Warning, the submersible pump just emitted smoke, make a report!"
"Báo cáo đội trưởng, bơm chìm bị rò điện.","Report to crew chief, the submersible pump has an electrical leakage."
"Báo cáo công nhân hàn, máy xúc số ba vừa bốc khói.","Report to welder, excavator number three just emitted smoke."
"Khẩn cấp, xe lu bị tuột sên, gọi thợ sửa đi!","Urgent, the road roller slipped its chain, call the repairman!"
"Cảnh báo, bơm chìm bị xì nhớt thủy lực, cúp điện khẩn cấp!","Warning, the submersible pump is leaking hydraulic fluid, cut the power urgently!"
"Báo cáo tổ đội, cẩu tháp bị xì nhớt thủy lực.","Report to the crew, the tower crane is leaking hydraulic fluid."
"Báo cáo công nhân hàn, bơm chìm đang kêu to lắm.","Report to welder, the submersible pump is making a loud noise."
"Ê bạn ơi, cẩu tháp đang kêu to lắm, chụp hình lại!","Hey buddy, the tower crane is making a loud noise, take a picture!"
"Báo cáo chỉ huy trưởng, máy hàn bị tuột sên.","Report to site manager, the welding machine slipped its chain."
"Khẩn cấp, máy trộn bê tông bị nổ lốp, kiểm tra lẹ giùm mình!","Urgent, the concrete mixer has a tire blowout, please check it immediately!"
"Ê bạn ơi, xe ủi đang kêu to lắm, lập biên bản!","Hey buddy, the bulldozer is making a loud noise, make a report!"
"Báo cáo anh thợ máy, xe ủi bị nổ lốp.","Report to mechanic, the bulldozer has a tire blowout."
"Ê bạn ơi, máy đóng cọc bị rò điện, lập biên bản!","Hey buddy, the pile driver has an electrical leakage, make a report!"
"Báo cáo đội trưởng, máy trộn bê tông không khởi động được.","Report to crew chief, the concrete mixer won't start."
"Anh em ơi, cẩu tháp bị xì nhớt thủy lực, lập biên bản!","Guys, the tower crane is leaking hydraulic fluid, make a report!"
"Báo cáo đội trưởng, máy trộn bê tông bị kẹt cứng rồi.","Report to crew chief, the concrete mixer is jammed."
"Anh em ơi, cẩu tháp bị rò điện, kiểm tra lẹ giùm mình!","Guys, the tower crane has an electrical leakage, please check it immediately!"
"Báo cáo tổ đội, máy xúc số ba bị rò điện.","Report to the crew, excavator number three has an electrical leakage."
"Báo cáo kỹ sư, máy xúc số ba bị rò điện.","Report to engineer, excavator number three has an electrical leakage."
"Báo cáo giám sát, bơm chìm bị kẹt cứng rồi.","Report to supervisor, the submersible pump is jammed."
"Báo cáo chỉ huy trưởng, xe lu bị tuột sên.","Report to site manager, the road roller slipped its chain."
"Báo cáo tổ đội, xe lu hư motor rồi.","Report to the crew, the road roller has motor failure."
"Báo cáo cai thầu, bơm chìm bị xì nhớt thủy lực.","Report to foreman, the submersible pump is leaking hydraulic fluid."
"Lưu ý, xe lu bị nổ lốp, gọi thợ sửa đi!","Attention, the road roller has a tire blowout, call the repairman!"
"Lưu ý, máy trộn bê tông không khởi động được, chụp hình lại!","Attention, the concrete mixer won't start, take a picture!"
"Ê bạn ơi, bơm chìm bị rò điện, tránh xa ra!","Hey buddy, the submersible pump has an electrical leakage, stay away!"
"Báo cáo cai thầu, máy xúc số ba bị nổ lốp.","Report to foreman, excavator number three has a tire blowout."
"Anh em ơi, xe cẩu đang kêu to lắm, chụp hình lại!","Guys, the crane truck is making a loud noise, take a picture!"
"Báo cáo cai thầu, máy xúc số ba đang kêu to lắm.","Report to foreman, excavator number three is making a loud noise."
"Báo cáo kỹ sư, bơm chìm đang kêu to lắm.","Report to engineer, the submersible pump is making a loud noise."
"Báo cáo cai thầu, xe ủi bị tuột sên.","Report to foreman, the bulldozer slipped its chain."
"Anh em ơi, máy hàn đang kêu to lắm, gọi đội bảo trì!","Guys, the welding machine is making a loud noise, call the maintenance team!"
"Báo cáo anh thợ máy, máy đóng cọc bị nổ lốp.","Report to mechanic, the pile driver has a tire blowout."
"Báo cáo cai thầu, xe cẩu bị tuột sên.","Report to foreman, the crane truck slipped its chain."
"Lưu ý, máy đóng cọc đang kêu to lắm, dừng máy ngay!","Attention, the pile driver is making a loud noise, stop the machine immediately!"
"Nhanh lên, xe ủi vừa bốc khói, tránh xa ra!","Hurry up, the bulldozer just emitted smoke, stay away!"
"Lưu ý, máy hàn không khởi động được, kiểm tra lẹ giùm mình!","Attention, the welding machine won't start, please check it immediately!"
"Ê bạn ơi, máy trộn bê tông hư motor rồi, tránh xa ra!","Hey buddy, the concrete mixer has motor failure, stay away!"
"Khẩn cấp, xe cẩu bị rò điện, lập biên bản!","Urgent, the crane truck has an electrical leakage, make a report!"
"Báo cáo tổ đội, máy rải nhựa bị xì nhớt thủy lực.","Report to the crew, the asphalt paver is leaking hydraulic fluid."
"Báo cáo anh thợ máy, máy đóng cọc bị rò điện.","Report to mechanic, the pile driver has an electrical leakage."
"Cảnh báo, máy hàn bị xì nhớt thủy lực, cúp điện khẩn cấp!","Warning, the welding machine is leaking hydraulic fluid, cut the power urgently!"
"Báo cáo chỉ huy trưởng, xe cẩu không khởi động được.","Report to site manager, the crane truck won't start."
"Báo cáo công nhân hàn, máy hàn không khởi động được.","Report to welder, the welding machine won't start."
"Ê bạn ơi, máy đóng cọc bị rò điện, kiểm tra lẹ giùm mình!","Hey buddy, the pile driver has an electrical leakage, please check it immediately!"
"Báo cáo chỉ huy trưởng, máy hàn bị rò điện.","Report to site manager, the welding machine has an electrical leakage."
"Báo cáo chỉ huy trưởng, bơm chìm bị nổ lốp.","Report to site manager, the submersible pump has a tire blowout."
"Báo cáo giám sát, máy rải nhựa không khởi động được.","Report to supervisor, the asphalt paver won't start."
"Ê bạn ơi, máy xúc số ba hư motor rồi, chụp hình lại!","Hey buddy, excavator number three has motor failure, take a picture!"
"Lưu ý, bơm chìm bị tuột sên, kiểm tra lẹ giùm mình!","Attention, the submersible pump slipped its chain, please check it immediately!"
"Báo cáo anh thợ máy, máy rải nhựa bị nổ lốp.","Report to mechanic, the asphalt paver has a tire blowout."
"Báo cáo chỉ huy trưởng, máy rải nhựa bị nổ lốp.","Report to site manager, the asphalt paver has a tire blowout."
"Báo cáo công nhân hàn, máy hàn vừa bốc khói.","Report to welder, the welding machine just emitted smoke."
"Báo cáo anh thợ máy, máy đóng cọc bị kẹt cứng rồi.","Report to mechanic, the pile driver is jammed."
"Trời ơi, máy trộn bê tông không khởi động được, đổi máy khác!","Oh my god, the concrete mixer won't start, switch to another machine!"
"Báo cáo cai thầu, xe cẩu bị kẹt cứng rồi.","Report to foreman, the crane truck is jammed."
"Báo cáo tổ đội, máy xúc số ba vừa bốc khói.","Report to the crew, excavator number three just emitted smoke."
"Lưu ý, máy hàn đang kêu to lắm, tránh xa ra!","Attention, the welding machine is making a loud noise, stay away!"
"Trời ơi, máy đóng cọc bị nổ lốp, tránh xa ra!","Oh my god, the pile driver has a tire blowout, stay away!"
"Khẩn cấp, máy xúc số ba bị nổ lốp, dừng máy ngay!","Urgent, excavator number three has a tire blowout, stop the machine immediately!"
"Lưu ý, xe cẩu bị kẹt cứng rồi, chụp hình lại!","Attention, the crane truck is jammed, take a picture!"
"Cảnh báo, máy đóng cọc bị kẹt cứng rồi, cúp điện khẩn cấp!","Warning, the pile driver is jammed, cut the power urgently!"
"Nhanh lên, máy trộn bê tông bị tuột sên, gọi đội bảo trì!","Hurry up, the concrete mixer slipped its chain, call the maintenance team!"
"Ê bạn ơi, xe ủi không khởi động được, chụp hình lại!","Hey buddy, the bulldozer won't start, take a picture!"
"Ê bạn ơi, xe ủi bị kẹt cứng rồi, gọi thợ sửa đi!","Hey buddy, the bulldozer is jammed, call the repairman!"
"Báo cáo cai thầu, bơm chìm bị tuột sên.","Report to foreman, the submersible pump slipped its chain."
"Trời ơi, bơm chìm vừa bốc khói, tránh xa ra!","Oh my god, the submersible pump just emitted smoke, stay away!"
"Trời ơi, bơm chìm bị rò điện, tránh xa ra!","Oh my god, the submersible pump has an electrical leakage, stay away!"
"Lưu ý, máy rải nhựa đang kêu to lắm, báo cáo giám sát!","Attention, the asphalt paver is making a loud noise, report to the supervisor!"
"Cảnh báo, xe lu bị kẹt cứng rồi, gọi thợ sửa đi!","Warning, the road roller is jammed, call the repairman!"
"Báo cáo tổ đội, xe ủi bị tuột sên.","Report to the crew, the bulldozer slipped its chain."
"Trời ơi, xe lu đang kêu to lắm, chụp hình lại!","Oh my god, the road roller is making a loud noise, take a picture!"
"Báo cáo kỹ sư, máy hàn bị kẹt cứng rồi.","Report to engineer, the welding machine is jammed."
"Lưu ý, máy đóng cọc bị rò điện, lập biên bản!","Attention, the pile driver has an electrical leakage, make a report!"
"Báo cáo đội trưởng, máy rải nhựa đang kêu to lắm.","Report to crew chief, the asphalt paver is making a loud noise."
"Báo cáo kỹ sư, máy rải nhựa vừa bốc khói.","Report to engineer, the asphalt paver just emitted smoke."
"Cảnh báo, máy trộn bê tông bị xì nhớt thủy lực, cúp điện khẩn cấp!","Warning, the concrete mixer is leaking hydraulic fluid, cut the power urgently!"
"Báo cáo chỉ huy trưởng, máy rải nhựa không khởi động được.","Report to site manager, the asphalt paver won't start."
"Báo cáo công nhân hàn, xe cẩu bị rò điện.","Report to welder, the crane truck has an electrical leakage."
"Nhanh lên, xe lu hư motor rồi, gọi đội bảo trì!","Hurry up, the road roller has motor failure, call the maintenance team!"
"Nhanh lên, máy rải nhựa bị xì nhớt thủy lực, dừng máy ngay!","Hurry up, the asphalt paver is leaking hydraulic fluid, stop the machine immediately!"
"Báo cáo kỹ sư, bơm chìm bị kẹt cứng rồi.","Report to engineer, the submersible pump is jammed."
"Báo cáo chỉ huy trưởng, cẩu tháp bị nổ lốp.","Report to site manager, the tower crane has a tire blowout."
"Trời ơi, máy rải nhựa vừa bốc khói, kiểm tra lẹ giùm mình!","Oh my god, the asphalt paver just emitted smoke, please check it immediately!"
"Anh em ơi, máy hàn vừa bốc khói, cúp điện khẩn cấp!","Guys, the welding machine just emitted smoke, cut the power urgently!"
"Khẩn cấp, cẩu tháp bị xì nhớt thủy lực, báo cáo giám sát!","Urgent, the tower crane is leaking hydraulic fluid, report to the supervisor!"
"Trời ơi, máy đóng cọc hư motor rồi, dừng máy ngay!","Oh my god, the pile driver has motor failure, stop the machine immediately!"
"Lưu ý, bơm chìm bị xì nhớt thủy lực, kiểm tra lẹ giùm mình!","Attention, the submersible pump is leaking hydraulic fluid, please check it immediately!"
"Báo cáo đội trưởng, máy rải nhựa bị tuột sên.","Report to crew chief, the asphalt paver slipped its chain."
"Báo cáo giám sát, xe cẩu hư motor rồi.","Report to supervisor, the crane truck has motor failure."
"Báo cáo cai thầu, máy đóng cọc bị rò điện.","Report to foreman, the pile driver has an electrical leakage."
"Báo cáo tổ đội, xe lu không khởi động được.","Report to the crew, the road roller won't start."
"Khẩn cấp, máy đóng cọc bị kẹt cứng rồi, lập biên bản!","Urgent, the pile driver is jammed, make a report!"
"Báo cáo giám sát, máy xúc số ba không khởi động được.","Report to supervisor, excavator number three won't start."
"Báo cáo chỉ huy trưởng, máy xúc số ba bị tuột sên.","Report to site manager, excavator number three slipped its chain."
"Báo cáo anh thợ máy, cẩu tháp bị xì nhớt thủy lực.","Report to mechanic, the tower crane is leaking hydraulic fluid."
"Nhanh lên, xe cẩu bị xì nhớt thủy lực, cúp điện khẩn cấp!","Hurry up, the crane truck is leaking hydraulic fluid, cut the power urgently!"
"Báo cáo đội trưởng, bơm chìm hư motor rồi.","Report to crew chief, the submersible pump has motor failure."
"Khẩn cấp, máy hàn bị kẹt cứng rồi, đổi máy khác!","Urgent, the welding machine is jammed, switch to another machine!"
"Báo cáo tổ đội, máy trộn bê tông bị kẹt cứng rồi.","Report to the crew, the concrete mixer is jammed."
"Báo cáo cai thầu, máy đóng cọc hư motor rồi.","Report to foreman, the pile driver has motor failure."
"Nhanh lên, xe ủi hư motor rồi, báo cáo giám sát!","Hurry up, the bulldozer has motor failure, report to the supervisor!"
"Báo cáo anh thợ máy, máy xúc số ba đang kêu to lắm.","Report to mechanic, excavator number three is making a loud noise."
"Báo cáo chỉ huy trưởng, máy xúc số ba bị xì nhớt thủy lực.","Report to site manager, excavator number three is leaking hydraulic fluid."
"Ê bạn ơi, máy đóng cọc hư motor rồi, chụp hình lại!","Hey buddy, the pile driver has motor failure, take a picture!"
"Báo cáo kỹ sư, bơm chìm bị nổ lốp.","Report to engineer, the submersible pump has a tire blowout."
"Anh em ơi, máy xúc số ba hư motor rồi, tránh xa ra!","Guys, excavator number three has motor failure, stay away!"
"Báo cáo tổ đội, xe ủi bị xì nhớt thủy lực.","Report to the crew, the bulldozer is leaking hydraulic fluid."
"Lưu ý, xe cẩu bị rò điện, lập biên bản!","Attention, the crane truck has an electrical leakage, make a report!"
"Báo cáo tổ đội, máy hàn bị rò điện.","Report to the crew, the welding machine has an electrical leakage."
"Báo cáo cai thầu, máy xúc số ba vừa bốc khói.","Report to foreman, excavator number three just emitted smoke."
"Báo cáo đội trưởng, xe lu hư motor rồi.","Report to crew chief, the road roller has motor failure."
"Trời ơi, bơm chìm bị kẹt cứng rồi, tránh xa ra!","Oh my god, the submersible pump is jammed, stay away!"
"Nhanh lên, máy đóng cọc bị nổ lốp, chụp hình lại!","Hurry up, the pile driver has a tire blowout, take a picture!"
"Khẩn cấp, máy rải nhựa đang kêu to lắm, cúp điện khẩn cấp!","Urgent, the asphalt paver is making a loud noise, cut the power urgently!"
"Báo cáo tổ đội, máy đóng cọc không khởi động được.","Report to the crew, the pile driver won't start."
"Ê bạn ơi, máy rải nhựa bị tuột sên, dừng máy ngay!","Hey buddy, the asphalt paver slipped its chain, stop the machine immediately!"
"Anh em ơi, cẩu tháp bị rò điện, cúp điện khẩn cấp!","Guys, the tower crane has an electrical leakage, cut the power urgently!"
"Báo cáo kỹ sư, xe lu bị rò điện.","Report to engineer, the road roller has an electrical leakage."
